pk,jsondata,id,name,description,markup_description,glottolog_id,google_book_search_id,bibtex_type,author,year,title,type,booktitle,editor,pages,edition,journal,school,address,url,note,number,series,volume,publisher,organization,chapter,howpublished,year_int,startpage_int,pages_int
56,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 540, ""imageLinks"": {""smallThumbnail"": ""http://bks1.books.google.de/books?id=qgkvAAAAYAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks1.books.google.de/books?id=qgkvAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=qgkvAAAAYAAJ&q=inauthor:Thomas+H.+Crowell+intitle:A+Grammar+of+Bororo&dq=inauthor:Thomas+H.+Crowell+intitle:A+Grammar+of+Bororo&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1979"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""UTEXAS:059173013779123"", ""type"": ""OTHER""}], ""authors"": [""Thomas Harris Crowell""], ""title"": ""A Grammar of Bororo"", ""infoLink"": ""http://books.google.de/books?id=qgkvAAAAYAAJ&dq=inauthor:Thomas+H.+Crowell+intitle:A+Grammar+of+Bororo&hl=&source=gbs_api"", ""categories"": [""Bororo language (Brazil)""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_Grammar_of_Bororo.html?hl=&id=qgkvAAAAYAAJ""}, ""searchInfo"": {""textSnippet"": ""Thomas Harris <b>Crowell</b>. BIBLIOGRAPHY ... Enciclopedia <b>Bororo</b> I. Campo <br>\nGrande: Museu Regional Dom Bosco. BABBY, L.H. and ... A <b>grammatical</b> <br>\ndescription of Mbembe (Adun dialect). (University of ... i&#39;LL, THOMAS <b>H</b>. 1973.&quot; <br>\nCohesion in&nbsp;...""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""JLaroEgffCg"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=qgkvAAAAYAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""qgkvAAAAYAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/qgkvAAAAYAAJ""}}",gcrowellbororo,Crowell 1979,A Grammar of Bororo,,,qgkvAAAAYAAJ,phdthesis,"Crowell, Thomas H.",1979,A Grammar of Bororo,,,,vii+270,,,Cornell University,,,,,,,,,,,,,
57,"{""gbs"": {}}",gdanielsenbaure,Danielsen 2007,Baure: An Arawak Language of Bolivia,,,,book,"Danielsen, Swintha",2007,Baure: An Arawak Language of Bolivia,,,,480,,,,,,PhD 2007 Radboud Universiteit Nijmegen,,Indigenous Languages of Latin America,6,"Leiden: Research School of Asian, African and Amerindian Studies (CNWS), Universiteit Leiden",,,,,,
176,"{""gbs"": {}}",typstortokaritianasubordination,Storto 2012,Subordination in Karitiana,,,,incollection,"Storto, Luciana R.",2012,Subordination in Karitiana,,,,219-237,,Amérindia (Paris),,,,,,,35,,,,,,,
58,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 874, ""previewLink"": ""http://books.google.de/books?id=PQBRNwAACAAJ&dq=inauthor:Connie+Dickinson+intitle:Complex+Predicates+in+Tsafiki&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2002"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""0493924019"", ""type"": ""ISBN_10""}, {""identifier"": ""9780493924014"", ""type"": ""ISBN_13""}], ""authors"": [""Connie Sue Dickinson""], ""title"": ""Complex Predicates in Tsafiki"", ""infoLink"": ""http://books.google.de/books?id=PQBRNwAACAAJ&dq=inauthor:Connie+Dickinson+intitle:Complex+Predicates+in+Tsafiki&hl=&source=gbs_api"", ""categories"": [""Colorado language""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Complex_Predicates_in_Tsafiki.html?hl=&id=PQBRNwAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""4z6dA1Q3MIk"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=PQBRNwAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""PQBRNwAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/PQBRNwAACAAJ""}}",gdickinsontsafiki,Dickinson 2002,Complex Predicates in Tsafiki,,,PQBRNwAACAAJ,phdthesis,"Dickinson, Connie",2002,Complex Predicates in Tsafiki,,,,xiv+437,,,University of Oregon,,,,,,,,,,,,,
59,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""subtitle"": ""langue tupi-guarani de Guyane fran\u00e7aise"", ""description"": ""La linguistique amazonienne conna\u00eet depuis deux d\u00e9cennies un essor consid\u00e9rable. Nombre de langues jusqu'alors inconnues sont d\u00e9crites et viennent enrichir la typologie des langues du monde. S'inscrivant dans la dynamique en cours, cette th\u00e8se constitue une premi\u00e8re description de la \""Morphosyntaxe de l\u00e9\u0301m\u00e9rillon, une langue tupi-guarani de Guyane fran\u00e7aise\"". L'\u00e9m\u00e9rillon \u00e9tant une langue amazonienne en danger et \u00e0 tradition orale, le corpus utilis\u00e9 pour cette \u00e9tude est constitu\u00e9 de textes spontan\u00e9s enregistr\u00e9s aupr\u00e8s de 13 locuteurs sur le terrain. L'analyse propos\u00e9e s'int\u00e8gre dans le cadre de la linguistique typologique et fonctionnelle et a pour objectif de situer l'\u00e9m\u00e9rillon d'une part dans le contexte des \u00e9tudes typologiques sur les langues du monde et d'autre part dans celui de la famille tupi-guarani. Les th\u00e8mes les plus d\u00e9velopp\u00e9s dans cette \u00e9tude sont ceux de la morphologie et de la syntaxe, du groupe nominal aux phrases complexes. Des th\u00e8mes associ\u00e9s allant de la phon\u00e9tique au discours sont aussi couverts. D'un point de vue typologique, les faits \u00e9m\u00e9rillon les plus remarquables dans le contexte des \u00e9tudes typologiques actuelles sont par exemple un syst\u00e8me hi\u00e9rarchique d'indexation des personnes, encore peu discut\u00e9 typologiquement, des pr\u00e9dication nominales possessives et l'origine g\u00e9rondive des constructions s\u00e9rielles. Sur le plan comparatif, l'\u00e9m\u00e9rillon fait preuve d'un caract\u00e8re innovant au sein de la famille tupi-guarani, entre autres par l'\u00e9volution du syst\u00e8me d'indexation des personnes dans les propositions d\u00e9pendantes. Enfin, sur le plan \""ar\u00e9al\"", l'\u00e9m\u00e9rillon constitue par de nombreux traits un sp\u00e9cimen repr\u00e9sentatif des langues d'Amazonie."", ""language"": ""fr"", ""publishedDate"": ""2003"", ""previewLink"": ""http://books.google.de/books?id=3LbbSgAACAAJ&dq=inauthor:Fran%C3%A7oise+Rose+intitle:Morphosyntaxe+de+l'Emerillon:+Langue+Tupi-Guarani+de+Guyane+Fran%C3%A7aise&hl=&cd=1&source=gbs_api"", ""title"": ""Morphosyntaxe de l'\u00e9m\u00e9rillon"", ""printType"": ""BOOK"", ""pageCount"": 678, ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:492437378"", ""type"": ""OTHER""}], ""authors"": [""Fran\u00e7oise Rose""], ""infoLink"": ""http://books.google.de/books?id=3LbbSgAACAAJ&dq=inauthor:Fran%C3%A7oise+Rose+intitle:Morphosyntaxe+de+l'Emerillon:+Langue+Tupi-Guarani+de+Guyane+Fran%C3%A7aise&hl=&source=gbs_api"", ""canonicalVolumeLink"": ""http://books.google.de/books/about/Morphosyntaxe_de_l_%C3%A9m%C3%A9rillon.html?hl=&id=3LbbSgAACAAJ""}, ""searchInfo"": {""textSnippet"": ""La linguistique amazonienne conna\u00eet depuis deux d\u00e9cennies un essor consid\u00e9rable.""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""nYZsl5RV2io"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=3LbbSgAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""3LbbSgAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/3LbbSgAACAAJ""}}",groseemerillon2003,Rose 2003,Morphosyntaxe de l'Emerillon: Langue Tupi-Guarani de Guyane Française,,,3LbbSgAACAAJ,phdthesis,"Rose, Françoise",2003,Morphosyntaxe de l'Emerillon: Langue Tupi-Guarani de Guyane Française,,,,xx+678,,,"Sciences du Langage et Arts: Université Lumière Lyon 2, Facult'e des Lettres",Lyon,\url{http://www.etnolinguistica.org/tese:rose-2003},,,,,,,,,,,
60,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""publisher"": ""Summer Inst of Linguistics"", ""description"": ""Compares and contrasts Embera-Katio and Northern Embera (Colombia) proper with each other and with other languages of the Embera branch of the Choco family. Gives special reference to Epena Pedee (Saija) of the Southern Embera group. Is of special interest to linguists of all persuasions, especially typologists, Americanists, and those interested in the Choco and adjacent language families. Builds on the fourth book in the subseries, Epena Pedee syntax, by Phillip L. Harms. Details grammatical structures from phonemics to discourse."", ""language"": ""en"", ""publishedDate"": ""1999"", ""imageLinks"": {""smallThumbnail"": ""http://bks7.books.google.de/books?id=_GaungEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks7.books.google.de/books?id=_GaungEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=_GaungEACAAJ&dq=inauthor:Charles+Arthur+Mortensen+intitle:A+Reference+Grammar+of+Northern+Embera+Languages+inpublisher:SIL+International+and+University+of+Texas+at+Arlington&hl=&cd=1&source=gbs_api"", ""title"": ""A Reference Grammar of Northern Embera Languages"", ""printType"": ""BOOK"", ""pageCount"": 194, ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""155671081X"", ""type"": ""ISBN_10""}, {""identifier"": ""9781556710810"", ""type"": ""ISBN_13""}], ""authors"": [""Charles Arthur Mortensen""], ""infoLink"": ""http://books.google.de/books?id=_GaungEACAAJ&dq=inauthor:Charles+Arthur+Mortensen+intitle:A+Reference+Grammar+of+Northern+Embera+Languages+inpublisher:SIL+International+and+University+of+Texas+at+Arlington&hl=&source=gbs_api"", ""categories"": [""Foreign Language Study""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_Reference_Grammar_of_Northern_Embera_L.html?hl=&id=_GaungEACAAJ""}, ""searchInfo"": {""textSnippet"": ""Builds on the fourth book in the subseries, Epena Pedee syntax, by Phillip L. Harms. Details grammatical structures from phonemics to discourse.""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""PnHMRETfc2A"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=_GaungEACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""_GaungEACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/_GaungEACAAJ""}}",gmortensennembera,Mortensen 1999,A Reference Grammar of Northern Embera Languages,,,_GaungEACAAJ,book,"Mortensen, Charles Arthur",1999,A Reference Grammar of Northern Embera Languages,,,,xiv+194,,,,,,Also SILPL 134,,Studies in the Languages of Colombia,7,SIL International and University of Texas at Arlington,,,,,,
61,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 544, ""previewLink"": ""http://books.google.de/books?id=nc-tnQEACAAJ&dq=inauthor:Denny+Moore+intitle:Syntax+of+the+Language+of+the+Gavi%C3%A3o+Indians+of+Rond%C3%B4nia,+Brazil&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1984"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:13638540"", ""type"": ""OTHER""}], ""authors"": [""Denny Moore""], ""title"": ""Syntax of the Language of the Gavi\u00e3o Indians of Rond\u00f4nia, Brazil"", ""infoLink"": ""http://books.google.de/books?id=nc-tnQEACAAJ&dq=inauthor:Denny+Moore+intitle:Syntax+of+the+Language+of+the+Gavi%C3%A3o+Indians+of+Rond%C3%B4nia,+Brazil&hl=&source=gbs_api"", ""categories"": [""Indians of South America""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Syntax_of_the_Language_of_the_Gavi%C3%A3o_In.html?hl=&id=nc-tnQEACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""X+1aGPDYkQM"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=nc-tnQEACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""nc-tnQEACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/nc-tnQEACAAJ""}}",gmooregaviao,Moore 1984,"Syntax of the Language of the Gavião Indians of Rondônia, Brazil",,,nc-tnQEACAAJ,phdthesis,"Moore, Denny",1984,"Syntax of the Language of the Gavião Indians of Rondônia, Brazil",,,,299,,,New York University,,,,,,,,,,,,,
62,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""publisher"": ""Oxford University Press"", ""description"": ""This is the first account of Jarawara, a Southern Amazonia language of great complexity and unusual interest, and now spoken by less than two hundred people. It has only two open lexical classes, noun and verb, and a closed adjective class with fourteen members which can only modify a noun. Verbs have a complex structure with three prefix and some twenty-five suffix slots. There is an eleven-term tense-modal system with an evidentiality contrast (eyewitness/non-eyewitness) in thethree past tenses. Of the two genders, feminine and masculine, feminine is unmarked. There are at least eight types of subordinate clause constructions, including complement clauses, relative clauses, coreferential dependent clauses, and 'when', 'if', 'due to the lack of' and 'because of' clauses.Thereare only eleven consonants and four vowels but an extensive set of ordered phonological rules of lenition, vowel assimilation and unstressed syllable omission. There are four imperative inflections (with different meanings) and three explicit interrogative suffixes within the mood system. The book is entirely based on field work by the authors."", ""language"": ""en"", ""publishedDate"": ""2004-10-07"", ""imageLinks"": {""smallThumbnail"": ""http://bks5.books.google.de/books?id=ArtpVpzsC5UC&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks5.books.google.de/books?id=ArtpVpzsC5UC&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=ArtpVpzsC5UC&dq=inauthor:R.+M.+W.+Dixon+intitle:The+Jarawara+Language+of+Southern+Amazonia+inpublisher:Oxford+University+Press&hl=&cd=1&source=gbs_api"", ""title"": ""The Jarawara Language of Southern Amazonia"", ""printType"": ""BOOK"", ""pageCount"": 636, ""contentVersion"": ""2.0.0.0.preview.0"", ""industryIdentifiers"": [{""identifier"": ""0199270678"", ""type"": ""ISBN_10""}, {""identifier"": ""9780199270675"", ""type"": ""ISBN_13""}], ""authors"": [""R.M.W. Dixon""], ""infoLink"": ""http://books.google.de/books?id=ArtpVpzsC5UC&dq=inauthor:R.+M.+W.+Dixon+intitle:The+Jarawara+Language+of+Southern+Amazonia+inpublisher:Oxford+University+Press&hl=&source=gbs_api"", ""categories"": [""Foreign Language Study""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/The_Jarawara_Language_of_Southern_Amazon.html?hl=&id=ArtpVpzsC5UC""}, ""searchInfo"": {""textSnippet"": ""This is the first account of Jarawara, a Southern Amazonia language of great complexity and unusual interest, and now spoken by less than two hundred people.""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""nN4Bkw3z37c"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=ArtpVpzsC5UC&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": true}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""ArtpVpzsC5UC"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/ArtpVpzsC5UC""}}",gdixonjarawara,Dixon 2004,The Jarawara Language of Southern Amazonia,,,ArtpVpzsC5UC,book,"Dixon, R. M. W.",2004,The Jarawara Language of Southern Amazonia,,,,xx+636,,,,,,,,,,Oxford University Press,,,,,,
63,"{""gbs"": {}}",geverettkaritiana,Everett 2006,"Gestural, perceptual, and conceptual patterns in Karitiana",,,,phdthesis,"Everett, Caleb",2006,"Gestural, perceptual, and conceptual patterns in Karitiana",,,,xiii+473,,,Rice University,"Houston, Texas",\url{lizensierteDBProQuestDissertations&amp ;hesesdatabase(PQDT)},,,,,,,,,,,
75,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""publisher"": ""Summer Inst of Linguistics"", ""description"": ""Presents Ika grammar from a typological and functional perspective, which provides a good framework for writing broadly useful, descriptive grammars."", ""language"": ""en"", ""publishedDate"": ""1990"", ""imageLinks"": {""smallThumbnail"": ""http://bks6.books.google.de/books?id=PQUvAAAAYAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks6.books.google.de/books?id=PQUvAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=PQUvAAAAYAAJ&q=inauthor:Paul+Frank+intitle:Ika+Syntax+inpublisher:The+Summer+Institute+of+Linguistics+and+the+University+of+Texas+at+Arlington&dq=inauthor:Paul+Frank+intitle:Ika+Syntax+inpublisher:The+Summer+Institute+of+Linguistics+and+the+University+of+Texas+at+Arlington&hl=&cd=1&source=gbs_api"", ""title"": ""Ika Syntax"", ""printType"": ""BOOK"", ""pageCount"": 140, ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""0883128012"", ""type"": ""ISBN_10""}, {""identifier"": ""9780883128015"", ""type"": ""ISBN_13""}], ""authors"": [""Paul Frank""], ""infoLink"": ""http://books.google.de/books?id=PQUvAAAAYAAJ&dq=inauthor:Paul+Frank+intitle:Ika+Syntax+inpublisher:The+Summer+Institute+of+Linguistics+and+the+University+of+Texas+at+Arlington&hl=&source=gbs_api"", ""categories"": [""Language Arts & Disciplines""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Ika_Syntax.html?hl=&id=PQUvAAAAYAAJ""}, ""searchInfo"": {""textSnippet"": ""Presents Ika grammar from a typological and functional perspective, which provides a good framework for writing broadly useful, descriptive grammars.""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""lF5Uv6RHn20"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=PQUvAAAAYAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""PQUvAAAAYAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/PQUvAAAAYAAJ""}}",gfrankika1990,Frank 1990,Ika Syntax,,,PQUvAAAAYAAJ,book,"Frank, Paul",1990,Ika Syntax,,,,xiii+140,,,,,,Studies in the Indigenous Languages of Colombia 1,,Summer Institute of Linguistics: Publications in Linguistics,94,The Summer Institute of Linguistics and the University of Texas at Arlington,,,,,,
64,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 326, ""previewLink"": ""http://books.google.de/books?id=BKXBAAAACAAJ&dq=inauthor:La%C3%A9rcio+Nora+Bacelar+intitle:Gram%C3%A1tica+da+l%C3%ADngua+Kano%C3%AA&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2004"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""9090179585"", ""type"": ""ISBN_10""}, {""identifier"": ""9789090179582"", ""type"": ""ISBN_13""}], ""authors"": [""La\u00e9rcio Nora Bacelar"", ""Katholieke Universiteit Nijmegen""], ""title"": ""Gram\u00e1tica da l\u00edngua Kano\u00ea"", ""infoLink"": ""http://books.google.de/books?id=BKXBAAAACAAJ&dq=inauthor:La%C3%A9rcio+Nora+Bacelar+intitle:Gram%C3%A1tica+da+l%C3%ADngua+Kano%C3%AA&hl=&source=gbs_api"", ""categories"": [""Tupi languages""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Gram%C3%A1tica_da_l%C3%ADngua_Kano%C3%AA.html?hl=&id=BKXBAAAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""g+BDF1twneU"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=BKXBAAAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""BKXBAAAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/BKXBAAAACAAJ""}}",gbacelarkanoe,Bacelar 2004,Gramática da língua Kanoê,,,BKXBAAAACAAJ,phdthesis,"Bacelar, Laércio Nora",2004,Gramática da língua Kanoê,,,,326,,,Katholieke Universiteit Nijmegen,Nijmegen,\url{http://webdoc.ubn.kun.nl/mono/b/bacelar_l/gramdalik.pdf},,,,,,,,,,,
65,"{""gbs"": {}}",smunichemuniche,de Documentación del Idioma Muniche 2009,Una Breve Descripción del Idioma Muniche,,,,book,Proyecto de Documentación del Idioma Muniche,2009,Una Breve Descripción del Idioma Muniche,,,,29,,,,,,,,,,Cabeceras Aid Project,,,,,,
66,"{""gbs"": {}}",geverettkernwari,Everett and Kern 1997,Wari': the Pacaas Novos language of Western Brazil,,,,book,"Everett, Daniel L. and Kern, Barbara",1997,Wari': the Pacaas Novos language of Western Brazil,,,,xviii+512,,,,London &amp ;New York,,,,Descriptive Grammars Series,,London &amp ;New York: Routledge,,,,,,
67,"{""gbs"": {}}",gjungpaez,Jung 2008,Gramática del páez o nasa yuwe: descripción de una lengua indígena de Colombia,,,,book,"Jung, Ingrid",2008,Gramática del páez o nasa yuwe: descripción de una lengua indígena de Colombia,,,,210,,,,München,,,,Languages of the World: Materials,469,München: Lincom Europe,,,,,,
68,"{""gbs"": {}}",ldtaylorcurasquechua,Taylor 1986,Curas y zorros en la tradicion oral quechua,,,,article,"Taylor, Gerald",1986,Curas y zorros en la tradicion oral quechua,,,,59-63,,Boletín Museo del Oro,,,,,,,16,,,,,,,
69,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 508, ""previewLink"": ""http://books.google.de/books?id=y6pFHAAACAAJ&dq=inauthor:Vilacy+Galucio,+Ana+intitle:The+Morphosyntax+of+Mekens+(Tupi)&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2001"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:47262025"", ""type"": ""OTHER""}], ""authors"": [""Ana Vilacy Galucio""], ""title"": ""The Morphosyntax of Mekens (Tupi)"", ""infoLink"": ""http://books.google.de/books?id=y6pFHAAACAAJ&dq=inauthor:Vilacy+Galucio,+Ana+intitle:The+Morphosyntax+of+Mekens+(Tupi)&hl=&source=gbs_api"", ""categories"": [""Brazil""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/The_Morphosyntax_of_Mekens_Tupi.html?hl=&id=y6pFHAAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""jPZ8GZyc/84"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=y6pFHAAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""y6pFHAAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/y6pFHAAACAAJ""}}",ggaluciomekens,Vilacy Galucio 2001,The Morphosyntax of Mekens (Tupi),,,y6pFHAAACAAJ,phdthesis,"Vilacy Galucio, Ana",2001,The Morphosyntax of Mekens (Tupi),,,,508,,,The University of Chicago,,,,,,,,,,,,,
70,"{""gbs"": {}}",ggaraytehuelche,Fernández Garay 1998,El tehuelche: una lengua en vías de extinción,,,,book,"Fernández Garay, Ana",1998,El tehuelche: una lengua en vías de extinción,,,,481,,,,Valdivia,,,,Estudios Filológicos,15,"Valdivia: Facultad de Filosofía y Humanidades, Universidad Austral de Chile",,,,,,
71,"{""gbs"": {}}",gromerofigeroawarao,Romero-Figeroa 1997,A Reference Grammar of Warao,,,,book,"Romero-Figeroa, Andrés",1997,A Reference Grammar of Warao,,,,141,,,,München,,,,LINCOM Studies in Native American Linguistics,6,München: Lincom,,,,,,
72,"{""gbs"": {}}",gvandervoortkwaza,van der Voort 2004,A Grammar of Kwaza,,,,book,"van der Voort, Hein",2004,A Grammar of Kwaza,,,,xxxviii+1026,,,,,,,,Mouton Grammar Library,29,Berlin: Mouton de Gruyter,,,,,,
